E~	c	21250	24052
E~	t(S)	24053	26930
E~	m	26931	28882
E~	J-	28883	31755
E~	s	31756	35206
E~	O	35207	37104
E~	_	37105	44613
E~	(S)	44614	49092
E~	(Z)	49093	53685
E~	n	53686	57886
E~	l	57887	59663
E~	I_^	59664	63439
E~	ts	63440	66743
E~	f	66744	69365
E~	p	69366	71927
E~	(J)	71928	75193
-----------------------------
F	f	0	2251
F	v	2252	4085
-----------------------------
G	d	0	2284
G	z	2285	4379
G	m	4380	6048
G	_	6049	7874
G	v	7875	8914
G	j	8915	11078
G	h-	11079	12677
G	t(S)	12678	15004
-----------------------------
I	n	0	1361
I	(J)	1362	2904
I	I~	2905	7285
I	g	7286	9610
I	v	9611	10712
I	t(S)	10713	12716
I	k	12717	14365
I	U	14366	16544
I	b	16545	17928
I	r	17929	19103
I	(Z)	19104	20958
I	f	20959	22166
I	z	22167	23854
I	m	23855	25001
I	s	25002	26863
I	c	26864	29359
I	x	29360	30864
I	(N)	30865	32509
I	l	32510	33723
I	a	33724	36642
I	(L)	36643	38047
I	j	38048	39561
I	(S)	39562	41581
I	F	41582	42939
I	h-	42940	44306
I	U_^	44307	45459
I	O	45460	46727
I	d	46728	47932
I	ts	47933	49432
I	a~	49433	52263
I	t	52264	53769
I	U~	53770	56593
I	w	56594	57838
I	E~	57839	60528
I	G	60529	62927
I	E	62928	66033
I	O~	66034	68674
I	I_^	68675	69395
I	_	69396	71236
I	p	71237	72640
-----------------------------
I_^	ts	0	1999
I_^	s	2000	4274
I_^	a	4275	5393
I_^	x	5394	7064
I_^	U	7065	8756
I_^	O	8757	10619
I_^	p	10620	12450
I_^	d(Z)	12451	14583
I_^	n	14584	16375
I_^	d	16376	18861
I_^	f	18862	21159
I_^	b	21160	22847
I_^	_	22848	24948
I_^	E	24949	26806
I_^	l	26807	28325
I_^	J-	28326	30392
I_^	h-	30393	31960
I_^	(S)	31961	34380
I_^	m	34381	36060
I_^	(J)	36061	38307
I_^	c	38308	40386
I_^	U~	40387	43377
I_^	(Z)	43378	45774
I_^	r	45775	47292
I_^	I	47293	49997
I_^	j	49998	51316
I_^	v	51317	52766
I_^	z	52767	54934
I_^	t(S)	54935	57080
I_^	k	57081	58579
-----------------------------
I_^E	a	0	2281
I_^E	(Z)	2282	4932
I_^E	_	4933	6851
I_^E	(L)	6852	9538
I_^E	m	9539	11759
I_^E	r	11760	13456
I_^E	l	13457	15113
I_^E	n	15114	16563
I_^E	c	16564	20226
I_^E	k	20227	23026
I_^E	d(Z)	23027	25733
I_^E	U_^	25734	28490
I_^E	b	28491	31243
I_^E	(J)	31244	33309
I_^E	t	33310	35681
I_^E	x	35682	38466
I_^E	t(S)	38467	41577
I_^E	d	41578	44522
I_^E	v	44523	45998
I_^E	G	45999	49832
I_^E	h-	49833	52350
I_^E	(N)	52351	55213
I_^E	s	55214	58718
-----------------------------
I_^U	_	0	2941
I_^U	(S)	2942	5842
I_^U	a	5843	8323
I_^U	I_^	8324	10813
-----------------------------
I_^a	(J)	0	3159
I_^a	r	3160	5859
I_^a	n	5860	7781
I_^a	g	7782	10136
I_^a	b	10137	12531
I_^a	(L)	12532	14856
I_^a	(N)	14857	18087
I_^a	k	18088	20957
I_^a	t(S)	20958	23433
I_^a	v	23434	25332
I_^a	w	25333	27612
I_^a	_	27613	31141
I_^a	p	31142	33225
I_^a	d	33226	35696
I_^a	(Z)	35697	38176
I_^a	x	38177	41382
I_^a	s	41383	44888
I_^a	m	44889	49442
I_^a	J-	49443	52287
I_^a	l	52288	53965
I_^a	c	53966	56697
I_^a	t	56698	58686
I_^a	h-	58687	60750
I_^a	G	60751	64423
I_^a	f	64424	67064
I_^a	dz	67065	69936
I_^a	ts	69937	73070
I_^a	I_^	73071	75648
-----------------------------
I~	b	0	1979
I~	(J)	1980	4948
I~	(N)	4949	7250
I~	p	7251	10137
I~	n	10138	13796
I~	k	13797	16862
I~	r	16863	19031
I~	s	19032	22539
I~	G	22540	24056
I~	(S)	24057	26699
I~	t	26700	29953
I~	d	29954	32193
I~	J-	32194	35988
I~	(Z)	35989	38497
I~	v	38498	40454
I~	f	40455	43299
I~	_	43300	47231
I~	z	47232	50741
I~	I_^	50742	54418
I~	j	54419	57274
I~	l	57275	59036
I~	c	59037	61218
I~	t(S)	61219	63848
I~	d(Z)	63849	66404
I~	ts	66405	70007
I~	m	70008	72516
I~	w	72517	75760
I~	h-	75761	78226
I~	dz	78227	80197
I~	a	80198	82031
I~	x	82032	84082
I~	U	84083	86596
-----------------------------
J-	O	0	1302
J-	I	1303	4177
J-	b	4178	5962
J-	I_^E	5963	10088
J-	I~	10089	13548
J-	_	13549	21605
J-	E	21606	22885
J-	a	22886	24426
J-	I_^a	24427	27419
J-	z	27420	29334
J-	n	29335	30669
J-	m	30670	32408
-----------------------------
O	m	0	1707
O	I_^	1708	4808
O	n	4809	5888
O	(S)	5889	7476
O	r	7477	8736
O	b	8737	10086
O	k	10087	11762
O	p	11763	12979
O	F	12980	15016
O	w	15017	16718
O	x	16719	18304
O	j	18305	19969
O	(J)	19970	21778
O	_	21779	23634
O	I~	23635	26619
O	E	26620	29300
O	t	29301	30903
O	E~	30904	34666
O	s	34667	36352
O	(Z)	36353	37635
O	h-	37636	39701
O	z	39702	42243
O	O~	42244	45606
O	d	45607	46888
O	g	46889	48151
O	v	48152	49329
O	a	49330	52290
O	I	52291	54043
O	G	54044	56353
O	ts	56354	58294
O	l	58295	59406
O	dz	59407	61565
O	t(S)	61566	63637
O	(N)	63638	65938
O	(L)	65939	67326
O	O	67327	68272
O	c	68273	70516
O	f	70517	72583
O	J-	72584	74086
O	U_^	74087	75546
O	a~	75547	78196
O	U~	78197	80678
-----------------------------
O~	(J)	0	3287
O~	(L)	3288	5927
O~	l	5928	10110
O~	m	10111	12322
O~	f	12323	15672
O~	n	15673	19139
O~	t	19140	21702
O~	r	21703	23617
O~	I_^	23618	27782
O~	p	27783	30159
O~	h-	30160	33450
O~	g	33451	36352
O~	_	36353	44278
O~	v	44279	46835
O~	J-	46836	50005
O~	z	50006	52643
O~	O	52644	56251
O~	E	56252	59553
O~	ts	59554	62506
O~	(N)	62507	64990
O~	b	64991	67354
O~	s	67355	70651
-----------------------------
U	m	0	2663
U	h-	2664	3907
U	(S)	3908	5784
U	I~	5785	8962
U	_	8963	10984
U	(N)	10985	12550
U	t	12551	14067
U	(L)	14068	15266
U	r	15267	16625
U	dz	16626	18377
U	z	18378	19796
U	j	19797	21579
U	n	21580	22743
U	x	22744	24238
U	c	24239	26469
U	U_^O	26470	29787
U	ts	29788	31967
U	d	31968	33814
U	E	33815	36364
U	v	36365	39631
U	k	39632	41321
U	s	41322	43163
U	E~	43164	46088
U	t(S)	46089	49800
U	b	49801	51335
U	p	51336	53413
U	(Z)	53414	55238
U	I	55239	57944
U	g	57945	60355
U	(J)	60356	62403
U	U	62404	64731
U	I_^	64732	68568
U	U~	68569	71352
U	F	71353	73347
U	a~	73348	75679
U	O	75680	77171
U	l	77172	78544
U	G	78545	81421
U	f	81422	82978
U	w	82979	84662
-----------------------------
U_^	(S)	0	3219
U_^	b	3220	4993
U_^	z	4994	6929
U_^	_	6930	15298
U_^	g	15299	16924
U_^	k	16925	18751
U_^	t(S)	18752	21587
U_^	r	21588	23724
U_^	p	23725	25641
U_^	O	25642	27191
U_^	a~	27192	29215
U_^	s	29216	31047
U_^	f	31048	33037
U_^	x	33038	35100
U_^	t	35101	36770
U_^	E	36771	38824
U_^	ts	38825	40422
-----------------------------
U_^O	b	0	3331
U_^O	t	3332	6283
U_^O	ts	6284	10188
U_^O	k	10189	13122
U_^O	v	13123	15430
U_^O	f	15431	18588
U_^O	c	18589	21898
U_^O	t(S)	21899	25121
U_^O	I_^	25122	28727
U_^O	(J)	28728	33144
U_^O	m	33145	35327
U_^O	(L)	35328	38008
U_^O	s	38009	41769
U_^O	r	41770	45379
U_^O	dz	45380	48508
U_^O	(S)	48509	51563
U_^O	p	51564	54010
U_^O	x	54011	58569
U_^O	l	58570	61226
U_^O	n	61227	65136
U_^O	z	65137	68924
U_^O	(Z)	68925	72064
U_^O	G	72065	76617
-----------------------------
U~	ts	0	2974
U~	t	2975	5362
U~	r	5363	7634
U~	b	7635	9734
U~	s	9735	14074
U~	f	14075	16449
U~	_	16450	22976
U~	I_^	22977	27203
U~	(S)	27204	29913
U~	w	29914	32548
U~	v	32549	34878
U~	c	34879	38397
U~	j	38398	39917
U~	(J)	39918	42633
U~	x	42634	45232
U~	g	45233	49513
U~	dz	49514	52117
U~	t(S)	52118	55425
U~	G	55426	59159
U~	O	59160	62071
U~	n	62072	65801
U~	h-	65802	68198
U~	l	68199	71603
U~	(Z)	71604	74067
U~	k	74068	76335
U~	p	76336	79070
U~	J-	79071	82614
-----------------------------
_	dz	0	2495
_	d(Z)	2496	4136
_	E	4137	5170
_	f	5171	6209
_	g	6210	7830
_	a~	7831	10152
_	c	10153	11034
_	h-	11035	11755
_	x	11756	19372
_	I	19373	26591
_	I~	26592	33174
_	j	33175	38905
_	l	38906	45875
_	(L)	45876	56777
_	m	56778	64645
_	b	64646	66246
_	a	66247	67448
_	n	67449	74165
_	(J)	74166	82234
_	J-	82235	84261
_	O	84262	91135
_	t(S)	91136	91920
_	O~	91921	100865
_	U_^O	100866	110136
_	p	110137	115334
_	ts	115335	116226
_	k	116227	116790
_	r	116791	119928
_	s	119929	124965
_	(S)	124966	128324
_	t	128325	132164
_	U~	132165	138184
_	U	138185	141771
_	v	141772	146524
_	w	146525	150395
_	U_^	150396	152998
_	z	152999	155966
_	d	155967	157280
_	(Z)	157281	159360
-----------------------------
a	(S)	0	2004
a	r	2005	3511
a	m	3512	4718
a	s	4719	6719
a	U_^	6720	8547
a	G	8548	10640
a	n	10641	12466
a	F	12467	13975
a	_	13976	15951
a	l	15952	17548
a	j	17549	18958
a	I_^	18959	21671
a	E~	21672	24710
a	(L)	24711	26610
a	O~	26611	29516
a	f	29517	31517
a	h-	31518	34232
a	t(S)	34233	35917
a	c	35918	38480
a	dz	38481	40387
a	d(Z)	40388	42145
a	g	42146	43993
a	d	43994	45669
a	U	45670	47350
a	J-	47351	49093
a	b	49094	50488
a	v	50489	51527
a	z	51528	53628
a	p	53629	55617
a	a~	55618	58203
a	k	58204	59726
a	(Z)	59727	61483
a	I~	61484	64746
a	(N)	64747	66575
a	(J)	66576	68133
a	t	68134	70215
a	x	70216	71816
a	a	71817	73727
a	E	73728	75488
a	I	75489	76710
a	O	76711	78621
a	U~	78622	81620
a	ts	81621	83305
a	w	83306	85462
-----------------------------
a~	z	0	2959
a~	_	2960	6420
a~	x	6421	8905
a~	(Z)	8906	11612
a~	(S)	11613	14731
a~	m	14732	17388
a~	J-	17389	20151
a~	t(S)	20152	23439
a~	n	23440	26155
a~	(J)	26156	29084
a~	U	29085	31854
a~	j	31855	34774
a~	c	34775	37652
a~	v	37653	40133
a~	b	40134	42551
a~	p	42552	44876
a~	r	44877	48081
a~	l	48082	49870
a~	U_^	49871	54583
a~	ts	54584	57623
a~	G	57624	61537
a~	d	61538	64064
a~	s	64065	66065
a~	t	66066	69509
a~	k	69510	73281
a~	I_^	73282	78016
a~	dz	78017	81359
a~	(N)	81360	83401
a~	O	83402	86214
a~	w	86215	88629
-----------------------------
b	I_^E	0	2316
b	I	2317	4218
b	_	4219	6047
b	l=~	6048	9128
b	I~	9129	12822
b	n	12823	14169
b	r=	14170	16949
b	a~	16950	19652
b	z	19653	23047
b	E~	23048	25248
b	l	25249	26265
b	a	26266	27816
b	(L)	27817	29573
b	v	29574	31027
b	J-	31028	33100
b	d	33101	34436
b	h-	34437	35952
b	j	35953	36817
b	(Z)	36818	38461
b	m	38462	39539
b	l=	39540	41474
b	I_^a	41475	43615
b	r	43616	44949
b	r=~	44950	49932
b	(J)	49933	51676
b	E	51677	52432
b	U_^O	52433	55956
b	U	55957	58223
b	U~	58224	60762
b	O~	60763	62933
b	O	62934	64461
-----------------------------
c	I	0	2661
c	I_^E	2662	5688
c	_	5689	7611
c	a	7612	9291
c	E	9292	12235
c	l	12236	14147
c	p	14148	15680
c	r	15681	17537
c	s	17538	19779
c	ts	19780	22423
c	t	22424	24508
c	U	24509	26858
c	k	26859	28859
c	I_^U	28860	31027
c	v	31028	32372
c	t(S)	32373	34462
c	h-	34463	36229
c	a~	36230	39506
c	I_^a	39507	41901
c	U~	41902	44122
c	O	44123	45393
